"Construct_name","ContiniousNumStudies","ContPA_CatPredNumStudies","ContPA_BinaryPredNumStudies","CatPA_ContPredNumStudies","CatBoth_PairsNumStudies","Studies_CatPA_BinaryPredNumStudies","BinaryPA_ContPredNumStudies","BinaryPA_CategoricalPredNumStudies","Studies_BinaryBothNumStudies"
"Age",17,0,0,4,0,0,3,0,0
"Comorbidity",5,0,0,0,0,0,2,0,0
"SocialSupport",0,0,0,0,0,0,0,0,0
"NegativeAttitute",2,0,0,0,0,0,0,0,0
"PositiveAttitute",2,0,0,0,0,0,0,0,0
"6MWT",7,0,0,1,0,0,0,0,0
"Functioning",9,0,0,0,0,0,0,0,0
"Symptoms",8,0,0,0,0,0,2,0,0
"LVEF",10,0,0,3,0,0,2,0,0
"SelfEfficacy",14,0,0,5,0,0,0,0,0
