"Construct","prior_alpha","prior_beta","mean_prior","PriorMean","Mean_normalised","PriorMode","Odds_prior","LogOdds_priorEstimate","prior_CredibleInterval_0.05","prior_CredibleInterval_0.95","MAP_hyperPrior","HDILower_hyperPrior","HDIUpper_hyperPrior","Total_N_Construct","Number_ofStudies_assessing_Construct","Pooled_LOGOdds_Ratio","LowerCI_LogOddsRatio","UpperCI_LogOddsRatio","posterior_alpha","posterior_beta","MAP_posterior","HDILower_Posterior","HDIUpper_Posterior","mode_posterior","mean_posterior","PosteriorMean","PosteriorMean_normalised","posterior_CredibleInterval_0.05","posterior_CredibleInterval_0.95"
"Age",5.42516666666667,7.1915,0.43,1.01010100996121,0.0101010101010101,0.426188778020046,1.70937737441797,-0.536129195683462,0.215403417111585,0.657704609575143,0.422856163424018,0.220057520487314,0.640617186187267,30657,12,-0.410280838888763,-1.44179146602501,0.621229788247479,6788.42516666667,23881.1915,0.0330168207158295,1.51020146688503e-09,2.68032559592669,0.221322225344106,0.221340398233431,1.45677222795973,0.0101010101010101,0.217451595212838,0.225249863306392
"Comorbidity",5.42516666666667,7.1915,0.43,1.01010100996121,0.0101010101010101,0.426188778020046,1.70937737441797,-0.536129195683462,0.215403417111585,0.657704609575143,0.422856163424018,0.220057520487314,0.640617186187267,243,2,-0.941084645035231,-1.6450202729625,-0.237149017107963,74.4251666666667,181.1915,0.0330168207158295,1.51020146688503e-09,2.68032559592669,0.289512387461392,0.291159287996349,1.01010101010101,0.0101010101010101,0.245448248203755,0.33873182432241
"SocialSupport",5.42516666666667,7.1915,0.43,1.01010100996121,0.0101010101010101,0.426188778020046,1.70937737441797,-0.536129195683462,0.215403417111585,0.657704609575143,0.422856163424018,0.220057520487314,0.640617186187267,333,1,0.76,0.257249704900957,1.26275029509904,36.4251666666667,309.1915,0.0330168207158295,1.51020146688503e-09,2.68032559592669,0.10309501867391,0.105391811737474,1.01010101009902,0.0101010101010101,0.0796184384036326,0.13376290190963
"NegativeAttitute",5.42516666666667,7.1915,0.43,1.01010100996121,0.0101010101010101,0.426188778020046,1.70937737441797,-0.536129195683462,0.215403417111585,0.657704609575143,0.422856163424018,0.220057520487314,0.640617186187267,204,1,-0.51,-1.01275029509904,-0.00724970490095678,47.4251666666667,169.1915,0.0330168207158295,1.51020146688503e-09,2.68032559592669,0.216316688669721,0.218935908286528,1.01010101010101,0.0101010101010101,0.174337122469912,0.266491260638345
"PositiveAttitute",5.42516666666667,7.1915,0.43,1.01010100996121,0.0101010101010101,0.426188778020046,1.70937737441797,-0.536129195683462,0.215403417111585,0.657704609575143,0.422856163424018,0.220057520487314,0.640617186187267,286,2,1.01853801750108,0.057140610393587,1.97993542460858,79.4251666666667,219.1915,0.0330168207158295,1.51020146688503e-09,2.68032559592669,0.264399056020678,0.265977005078975,1.01010101010101,0.0101010101010101,0.224890576042108,0.308848437643398
"6MWT",5.42516666666667,7.1915,0.43,1.01010100996121,0.0101010101010101,0.426188778020046,1.70937737441797,-0.536129195683462,0.215403417111585,0.657704609575143,0.422856163424018,0.220057520487314,0.640617186187267,855,7,1.77173021012617,1.33029718351127,2.21316323674108,301.425166666667,566.1915,0.0330168207158295,1.51020146688503e-09,2.68032559592669,0.347064905558658,0.347417446260829,1.01010101010101,0.0101010101010101,0.321042803768418,0.374192252157263
"Functioning",5.42516666666667,7.1915,0.43,1.01010100996121,0.0101010101010101,0.426188778020046,1.70937737441797,-0.536129195683462,0.215403417111585,0.657704609575143,0.422856163424018,0.220057520487314,0.640617186187267,406,4,0.900889789732303,0.542260760931736,1.25951881853287,142.425166666667,276.1915,0.0330168207158295,1.51020146688503e-09,2.68032559592669,0.33946113533624,0.340228132340646,1.01010101010101,0.0101010101010101,0.302617261872713,0.378708000084967
"Symptoms",5.42516666666667,7.1915,0.43,1.01010100996121,0.0101010101010101,0.426188778020046,1.70937737441797,-0.536129195683462,0.215403417111585,0.657704609575143,0.422856163424018,0.220057520487314,0.640617186187267,909,2,0.475,0.11240666286009,0.83759333713991,239.425166666667,682.1915,0.0330168207158295,1.51020146688503e-09,2.68032559592669,0.259265817278939,0.259788234443098,1.01010101010101,0.0101010101010101,0.236339790210141,0.283829698172299
"LVEF",5.42516666666667,7.1915,0.43,1.01010100996121,0.0101010101010101,0.426188778020046,1.70937737441797,-0.536129195683462,0.215403417111585,0.657704609575143,0.422856163424018,0.220057520487314,0.640617186187267,1378,6,0.161631057207389,-0.479197732543117,0.802459846957896,281.425166666667,1109.1915,0.0330168207158295,1.51020146688503e-09,2.68032559592669,0.201945701357466,0.202374366288337,1.01010100976517,0.0101010101010101,0.184905046577109,0.220330536682865
"SelfEfficacy",5.42516666666667,7.1915,0.43,1.01010100996121,0.0101010101010101,0.426188778020046,1.70937737441797,-0.536129195683462,0.215403417111585,0.657704609575143,0.422856163424018,0.220057520487314,0.640617186187267,1548,11,0.835118614920262,0.255348021851709,1.41488920798881,488.425166666667,1072.1915,0.0330168207158295,1.51020146688503e-09,2.68032559592669,0.312729343327951,0.312969339043327,1.01010101010249,0.0101010101010101,0.293804738859325,0.332406559707258
"Depression",5.42516666666667,7.1915,0.43,1.01010100996121,0.0101010101010101,0.426188778020046,1.70937737441797,-0.536129195683462,0.215403417111585,0.657704609575143,0.422856163424018,0.220057520487314,0.640617186187267,922,3,-0.543570276975938,-1.13292014946859,0.0457795955167172,130.425166666667,804.1915,0.0330168207158295,1.51020146688503e-09,2.68032559592669,0.138776381864646,0.139549369616777,1.01010101007535,0.0101010101010101,0.121362895249476,0.158613158003977
"Digoxin",5.42516666666667,7.1915,0.43,1.01010100996121,0.0101010101010101,0.426188778020046,1.70937737441797,-0.536129195683462,0.215403417111585,0.657704609575143,0.422856163424018,0.220057520487314,0.640617186187267,82,1,-1.06,-1.85491801341738,-0.265081986582618,20.4251666666667,74.1915,0.0330168207158295,1.51020146688503e-09,2.68032559592669,0.209737268310239,0.215872820151488,1.01010101010101,0.0101010101010101,0.150210821421938,0.288394419582311
