"Construct","prior_alpha","prior_beta","PriorMean","PriorMode","prior_CredibleInterval_0.05","prior_CredibleInterval_0.95","posterior_alpha_Qual","posterior_beta_Qual","mode_posterior_Qual","mean_posterior_Qual","posterior_CredibleInterval_0.05_Qual","posterior_CredibleInterval_0.95_Qual","Total_N_Construct","Number_ofStudies_assessing_Construct","Pooled_LOGOdds_Ratio","LowerCI_LogOddsRatio","UpperCI_LogOddsRatio","posterior_alpha","posterior_beta","mode_posterior","mean_posterior","posterior_CredibleInterval_0.05","posterior_CredibleInterval_0.95"
"Age",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,33.4251666666667,27.1915,0.55317315894228,0.551418751718449,0.446124562909724,0.654767086647529,30657,12,-0.410280838888763,-1.44179146602501,0.621229788247479,5073.42516666667,25644.1915,0.16514157022188,0.165163372592383,0.161690952891044,0.168660580900455
"Comorbidity",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,28.4251666666667,32.1915,0.467873187375604,0.468933186692329,0.364840792631509,0.574201281112488,243,2,-0.941084645035231,-1.6450202729625,-0.237149017107963,70.4251666666667,233.1915,0.230176824888103,0.231954218587034,0.193197072525537,0.272721975382528
"SocialSupport",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,43.4251666666667,17.1915,0.723773102075633,0.71638988177069,0.617914414779364,0.806683330794054,333,1,0.76,0.257249704900957,1.26275029509904,138.425166666667,255.1915,0.350917563944333,0.35167506457213,0.312564170606878,0.391644009735769
"NegativeAttitute",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,9.42516666666667,11.1915,0.452560429722471,0.457162489894907,0.282943841197008,0.636223866608036,204,1,-0.51,-1.01275029509904,-0.00724970490095678,32.4251666666667,192.1915,0.141162686231938,0.144357794761445,0.107745391615531,0.184575759415665
"PositiveAttitute",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,9.42516666666667,8.1915,0.539498399146211,0.535014191106906,0.342070078829334,0.723307802048664,286,2,1.01853801750108,0.057140610393587,1.97993542460858,107.425166666667,196.1915,0.35284909100956,0.353818411373991,0.30929993956373,0.399433636714105
"6MWT",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,8.42516666666667,24.1915,0.242520413718018,0.258308635666837,0.142998326448666,0.390701613919209,855,7,1.77173021012617,1.33029718351127,2.21316323674108,316.425166666667,571.1915,0.356164442855261,0.356488536718178,0.330243175746798,0.38310178691519
"Functioning",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,8.42516666666667,24.1915,0.242520413718018,0.258308635666837,0.142998326448666,0.390701613919209,406,4,0.900889789732303,0.542260760931736,1.25951881853287,109.425166666667,329.1915,0.248330343169065,0.249477904016415,0.216188831371668,0.284067216190599
"Symptoms",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,12.4251666666667,20.1915,0.373168209036472,0.380945324476239,0.247264863677341,0.523056199912248,909,2,0.475,0.11240666286009,0.83759333713991,350.425166666667,591.1915,0.371880554126683,0.37215268067331,0.346409182147742,0.39820510973005
"LVEF",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,8.42516666666667,24.1915,0.242520413718018,0.258308635666837,0.142998326448666,0.390701613919209,1378,6,0.161631057207389,-0.479197732543117,0.802459846957896,380.425166666667,1030.1915,0.269360128731498,0.269687134468377,0.250444467536632,0.289301215927728
"SelfEfficacy",5.42516666666667,7.1915,1.01010100996121,0.426188778020046,0.215403417111585,0.657704609575143,46.4251666666667,14.1915,0.774953085015638,0.765881220786362,0.672303833164378,0.849411619296959,1548,11,0.835118614920262,0.255348021851709,1.41488920798881,296.425166666667,1312.1915,0.183880307478448,0.184273340447797,0.168603631825736,0.200389493179346
