"Construct", "Probability", "logOddsRatio", "Hyperprior_density", "Mean_probability_hyperprior", "Variance_hyperprior", "Hyperprior_density_cumsum", "Hyperprior_density_CI", "Log_Odds_hyperprior", "Hyperprior_logOdds", "Hyperprior_logOdds_cumsum", "Hyperprior_logOdds_CI", "logOR_expert_elicitation_task", "variance_expert_elicitation_task", "Prior_qual_density", "Prior_qual_density_cumsum", "Prior_qual_density_CI", "p_Prior_qual", "Prior_qual_quantile_0.05", "Prior_qual_quantile_0.95", "Posterior_qual_only_mean", "Posterior_qual_only_variance", "Posterior_qual_only", "Posterior_qual_only_cumsum", "Posterior_qual_only_CI", "Posterior_qual_only_quantile_0.05", "Posterior_qual_only_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood", "Likelihood_cumsum", "Likelihood_CI", "p_Likelihood", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95", "posterior_QualplusQuant_mean", "posterior_QualplusQuant_variance", "Posterior_QualplusQuant", "Posterior_QualplusQuant_cumsum", "Posterior_QualplusQuant_CI", "p_Posterior_QualplusQuant", "Posterior_QualplusQuant_quantile_0.05", "Posterior_QualplusQuant_quantile_0.95", "posterior_All_mean", "posterior_All_variance", "posterior_All", "posterior_All_cumsum", "posterior_All_CI", "posterior_All_quantile_0.05", "posterior_All_quantile_0.95"
"6MWT", 0, -1, 5.99255167702408e-116, 0.433382295, 0.0189523150981809, 5.99255167702408e-116, "outside CI", -0.268064597507936, 0, 0, "outside CI", 0.0200070434215421, 0.13421053, 2.55906945296586e-15, 2.55906945296586e-15, "outside CI", 1.48005579697205e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 1.35045399521446e-124, 1.35045399521446e-124, "outside CI", 4.23862218649064e-125, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 4.8942286001752e-216, 4.8942286001752e-216, "outside CI", 3.44953304936498e-216, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.001001001001001, -0.996996996996997, 2.00230455622799e-115, 0.433382295, 0.0189523150981809, 2.6015597239304e-115, "outside CI", -0.268064597507936, 3.95252516672997e-323, 3.95252516672997e-323, "outside CI", 0.0200070434215421, 0.13421053, 3.03268067729042e-15, 5.59175013025628e-15, "outside CI", 1.75898508412619e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 2.32194736113196e-124, 3.67240135634642e-124, "outside CI", 7.29479539552736e-125, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 2.01742322752722e-215, 2.50684608754474e-215, "outside CI", 1.42396113582814e-215, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.002002002002002, -0.993993993993994, 6.67170704730222e-115, 0.433382295, 0.0189523150981809, 9.27326677123262e-115, "outside CI", -0.268064597507936, 1.66253089825579e-320, 1.66648342342252e-320, "outside CI", 0.0200070434215421, 0.13421053, 3.5921450409416e-15, 9.18389517119788e-15, "outside CI", 2.0894512044599e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 3.99023785448101e-124, 7.66263921082744e-124, "outside CI", 1.25480360891967e-124, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 8.29894110305676e-215, 1.08057871906015e-214, "outside CI", 5.86610403525662e-215, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.003003003003003, -0.990990990990991, 2.21682946891642e-114, 0.433382295, 0.0189523150981809, 3.14415614603969e-114, "outside CI", -0.268064597507936, 7.09754944189701e-318, 7.11421427613124e-318, "outside CI", 0.0200070434215421, 0.13421053, 4.2526888857531e-15, 1.3436584056951e-14, "outside CI", 2.48078048483025e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 6.85360446956412e-124, 1.45162436803916e-123, "outside CI", 2.15731041015392e-124, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 3.40691460192265e-214, 4.4874933209828e-214, "outside CI", 2.41165503865942e-214, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.004004004004004, -0.987987987987988, 7.34541079171277e-114, 0.433382295, 0.0189523150981809, 1.04895669377525e-113, "outside CI", -0.268064597507936, 2.95486486058008e-315, 2.96197907485621e-315, "outside CI", 0.0200070434215421, 0.13421053, 5.03217723567271e-15, 1.84687612926237e-14, "outside CI", 2.94395038052319e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 1.17655742322754e-123, 2.6281817912667e-123, "outside CI", 3.70700998916169e-124, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 1.3957663128702e-213, 1.84451564496848e-213, "outside CI", 9.89451283861439e-214, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.005005005005005, -0.984984984984985, 2.4271039462988e-113, 0.433382295, 0.0189523150981809, 3.47606064007404e-113, "outside CI", -0.268064597507936, 1.19967383655224e-312, 1.2026358156271e-312, "outside CI", 0.0200070434215421, 0.13421053, 5.95155996595158e-15, 2.44203212585753e-14, "outside CI", 3.49187508420926e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 2.01874311179526e-123, 4.64692490306196e-123, "outside CI", 6.3666226688167e-124, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 5.70659532814716e-213, 7.55111097311564e-213, "outside CI", 4.05123515216166e-213, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.00600600600600601, -0.981981981981982, 7.99740609017966e-113, 0.433382295, 0.0189523150981809, 1.14734667302537e-112, "outside CI", -0.268064597507936, 4.74990710788725e-310, 4.76193346604352e-310, "outside CI", 0.0200070434215421, 0.13421053, 7.03539145849379e-15, 3.14557127170691e-14, "outside CI", 4.13973933502713e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 3.46196621839645e-123, 8.10889112145841e-123, "outside CI", 1.09287050410124e-123, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 2.32838257350363e-212, 3.08349367081519e-212, "outside CI", 1.65536701568662e-212, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.00700700700700701, -0.978978978978979, 2.6278369002942e-112, 0.433382295, 0.0189523150981809, 3.77518357331957e-112, "outside CI", -0.268064597507936, 1.83401722477558e-307, 1.83877915824162e-307, "outside CI", 0.0200070434215421, 0.13421053, 8.31243551010862e-15, 3.97681482271777e-14, "outside CI", 4.90538835056802e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 5.93387552778503e-123, 1.40427666492434e-122, "outside CI", 1.8750054639601e-123, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 9.48078948376694e-212, 1.25642831545821e-211, "outside CI", 6.75017378429319e-212, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.00800800800800801, -0.975975975975976, 8.61065421772987e-112, 0.433382295, 0.0189523150981809, 1.23858377910494e-111, "outside CI", -0.268064597507936, 6.90586475597309e-305, 6.9242525475555e-305, "outside CI", 0.0200070434215421, 0.13421053, 9.81636908786657e-15, 4.95845173150443e-14, "outside CI", 5.80978307044576e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 1.01654796852987e-122, 2.42082463345422e-122, "outside CI", 3.21521937763262e-123, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 3.85254363249429e-211, 5.10897194795251e-211, "outside CI", 2.74694159007657e-211, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.00900900900900901, -0.972972972972973, 2.81360014092495e-111, 0.433382295, 0.0189523150981809, 4.05218392002989e-111, "outside CI", -0.268064597507936, 2.53588230088843e-302, 2.54280655343598e-302, "outside CI", 0.0200070434215421, 0.13421053, 1.15866006277332e-14, 6.11711179427775e-14, "outside CI", 6.87753136220919e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 1.74056866160376e-122, 4.16139329505798e-122, "outside CI", 5.51052433313963e-123, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 1.56229674622728e-210, 2.07319394102253e-210, "outside CI", 1.11557227584622e-210, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
