"Construct", "Probability", "logOddsRatio", "Hyperprior_density", "Mean_probability_hyperprior", "Variance_hyperprior", "Hyperprior_density_cumsum", "Hyperprior_density_CI", "Log_Odds_hyperprior", "Hyperprior_logOdds", "Hyperprior_logOdds_cumsum", "Hyperprior_logOdds_CI", "logOR_expert_elicitation_task", "variance_expert_elicitation_task", "Prior_qual_density", "Prior_qual_density_cumsum", "Prior_qual_density_CI", "p_Prior_qual", "Prior_qual_quantile_0.05", "Prior_qual_quantile_0.95", "Posterior_qual_only_mean", "Posterior_qual_only_variance", "Posterior_qual_only", "Posterior_qual_only_cumsum", "Posterior_qual_only_CI", "Posterior_qual_only_quantile_0.05", "Posterior_qual_only_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood", "Likelihood_cumsum", "Likelihood_CI", "p_Likelihood", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95", "posterior_QualplusQuant_mean", "posterior_QualplusQuant_variance", "Posterior_QualplusQuant", "Posterior_QualplusQuant_cumsum", "Posterior_QualplusQuant_CI", "p_Posterior_QualplusQuant", "Posterior_QualplusQuant_quantile_0.05", "Posterior_QualplusQuant_quantile_0.95", "posterior_All_mean", "posterior_All_variance", "posterior_All", "posterior_All_cumsum", "posterior_All_CI", "posterior_All_quantile_0.05", "posterior_All_quantile_0.95"
"6MWT", 0, -1, 5.99255167702408e-116, 0.433382295, 0.0189523150981809, 5.99255167702408e-116, "outside CI", -0.268064597507936, 0, 0, "outside CI", 0.0200070434215421, 0.13421053, 2.55906945296586e-15, 2.55906945296586e-15, "outside CI", 1.48005579697205e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 3.93494926842544e-43, 3.93494926842544e-43, "outside CI", 1.57441899212027e-42, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 2.8367833134026e-100, 2.8367833134026e-100, "outside CI", 3.28328426730456e-100, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.001001001001001, -0.996996996996997, 2.00230455622799e-115, 0.433382295, 0.0189523150981809, 2.6015597239304e-115, "outside CI", -0.268064597507936, 3.95252516672997e-323, 3.95252516672997e-323, "outside CI", 0.0200070434215421, 0.13421053, 3.03268067729042e-15, 5.59175013025628e-15, "outside CI", 1.75898508412619e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 5.04468186984346e-43, 8.9796311382689e-43, "outside CI", 2.02111699860605e-42, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 6.71233299757957e-100, 9.54911631098217e-100, "outside CI", 7.78367357850048e-100, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.002002002002002, -0.993993993993994, 6.67170704730222e-115, 0.433382295, 0.0189523150981809, 9.27326677123262e-115, "outside CI", -0.268064597507936, 1.66253089825579e-320, 1.66648342342252e-320, "outside CI", 0.0200070434215421, 0.13421053, 3.5921450409416e-15, 9.18389517119788e-15, "outside CI", 2.0894512044599e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 6.46522563858013e-43, 1.5444856776849e-42, "outside CI", 2.59369320562246e-42, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 1.58563726084921e-99, 2.54054889194743e-99, "outside CI", 1.84223632226829e-99, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.003003003003003, -0.990990990990991, 2.21682946891642e-114, 0.433382295, 0.0189523150981809, 3.14415614603969e-114, "outside CI", -0.268064597507936, 7.09754944189701e-318, 7.11421427613124e-318, "outside CI", 0.0200070434215421, 0.13421053, 4.2526888857531e-15, 1.3436584056951e-14, "outside CI", 2.48078048483025e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 8.28302259074888e-43, 2.37278793675979e-42, "outside CI", 3.32737516590969e-42, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 3.73953163023566e-99, 6.28008052218309e-99, "outside CI", 4.35302007141991e-99, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.004004004004004, -0.987987987987988, 7.34541079171277e-114, 0.433382295, 0.0189523150981809, 1.04895669377525e-113, "outside CI", -0.268064597507936, 2.95486486058008e-315, 2.96197907485621e-315, "outside CI", 0.0200070434215421, 0.13421053, 5.03217723567271e-15, 1.84687612926237e-14, "outside CI", 2.94395038052319e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 1.06083847302158e-42, 3.43362640978137e-42, "outside CI", 4.26717993582313e-42, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 8.80468044429961e-99, 1.50847609664827e-98, "outside CI", 1.02688215647122e-98, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.005005005005005, -0.984984984984985, 2.4271039462988e-113, 0.433382295, 0.0189523150981809, 3.47606064007404e-113, "outside CI", -0.268064597507936, 1.19967383655224e-312, 1.2026358156271e-312, "outside CI", 0.0200070434215421, 0.13421053, 5.95155996595158e-15, 2.44203212585753e-14, "outside CI", 3.49187508420926e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 1.35820377812019e-42, 4.79183018790157e-42, "outside CI", 5.47061513398592e-42, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 2.06963140055547e-98, 3.57810749720374e-98, "outside CI", 2.41843912521131e-98, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.00600600600600601, -0.981981981981982, 7.99740609017966e-113, 0.433382295, 0.0189523150981809, 1.14734667302537e-112, "outside CI", -0.268064597507936, 4.74990710788725e-310, 4.76193346604352e-310, "outside CI", 0.0200070434215421, 0.13421053, 7.03539145849379e-15, 3.14557127170691e-14, "outside CI", 4.13973933502713e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 1.73834456168564e-42, 6.53017474958721e-42, "outside CI", 7.01111985962765e-42, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 4.85685827254591e-98, 8.43496576974965e-98, "outside CI", 5.68635977543335e-98, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.00700700700700701, -0.978978978978979, 2.6278369002942e-112, 0.433382295, 0.0189523150981809, 3.77518357331957e-112, "outside CI", -0.268064597507936, 1.83401722477558e-307, 1.83877915824162e-307, "outside CI", 0.0200070434215421, 0.13421053, 8.31243551010862e-15, 3.97681482271777e-14, "outside CI", 4.90538835056802e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 2.22413963199705e-42, 8.75431438158425e-42, "outside CI", 8.98244663514227e-42, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 1.13789155785655e-97, 1.98138813483152e-97, "outside CI", 1.33480595337214e-97, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.00800800800800801, -0.975975975975976, 8.61065421772987e-112, 0.433382295, 0.0189523150981809, 1.23858377910494e-111, "outside CI", -0.268064597507936, 6.90586475597309e-305, 6.9242525475555e-305, "outside CI", 0.0200070434215421, 0.13421053, 9.81636908786657e-15, 4.95845173150443e-14, "outside CI", 5.80978307044576e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 2.84474597137029e-42, 1.15990603529545e-41, "outside CI", 1.15042398227402e-41, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 2.66151758089802e-97, 4.64290571572954e-97, "outside CI", 3.12814279212528e-97, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.00900900900900901, -0.972972972972973, 2.81360014092495e-111, 0.433382295, 0.0189523150981809, 4.05218392002989e-111, "outside CI", -0.268064597507936, 2.53588230088843e-302, 2.54280655343598e-302, "outside CI", 0.0200070434215421, 0.13421053, 1.15866006277332e-14, 6.11711179427775e-14, "outside CI", 6.87753136220919e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 3.6373089381849e-42, 1.52363692911395e-41, "outside CI", 1.47291347876578e-41, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 6.21499555491261e-97, 1.08579012706421e-96, "outside CI", 7.31879601986819e-97, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
