"Construct", "Probability", "logOddsRatio", "Hyperprior_density", "Mean_probability_hyperprior", "Variance_hyperprior", "Hyperprior_density_cumsum", "Hyperprior_density_CI", "Log_Odds_hyperprior", "Hyperprior_logOdds", "Hyperprior_logOdds_cumsum", "Hyperprior_logOdds_CI", "Hyperprior_quantile_0.05", "Hyperprior_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood", "Likelihood_cumsum", "Likelihood_CI", "p_Likelihood", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95", "posterior_Quant_mean", "posterior_Quant_variance", "Posterior_Quant", "Posterior_Quant_cumsum", "Posterior_Quant_CI", "p_Posterior_Quant", "Posterior_Quant_quantile_0.05", "Posterior_Quant_quantile_0.95"
"PerceivedExertion", 0, -1, 5.99255167702408e-116, 0.433382295, 0.0189523150981809, 5.99255167702408e-116, "outside CI", -0.268064597507936, 0, 0, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00690961074609887, 0.00690961074609887, "outside CI", 0.475762148007066, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 0, 0, "outside CI", 0, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.001001001001001, -0.996996996996997, 2.00230455622799e-115, 0.433382295, 0.0189523150981809, 2.6015597239304e-115, "outside CI", -0.268064597507936, 3.95252516672997e-323, 3.95252516672997e-323, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00691315806557249, 0.0138227688116714, "outside CI", 0.479397942199891, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 4.94065645841247e-324, 4.94065645841247e-324, "outside CI", 0, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.002002002002002, -0.993993993993994, 6.67170704730222e-115, 0.433382295, 0.0189523150981809, 9.27326677123262e-115, "outside CI", -0.268064597507936, 1.66253089825579e-320, 1.66648342342252e-320, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00691613092314549, 0.0207388997348168, "outside CI", 0.483035451414608, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 3.44363755151349e-321, 3.4485782079719e-321, "outside CI", 0, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.003003003003003, -0.990990990990991, 2.21682946891642e-114, 0.433382295, 0.0189523150981809, 3.14415614603969e-114, "outside CI", -0.268064597507936, 7.09754944189701e-318, 7.11421427613124e-318, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00691852857629375, 0.0276574283111106, "inside CI", 0.486674373251015, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 2.09771380042568e-318, 2.10116237863365e-318, "outside CI", 0, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.004004004004004, -0.987987987987988, 7.34541079171277e-114, 0.433382295, 0.0189523150981809, 1.04895669377525e-113, "outside CI", -0.268064597507936, 2.95486486058008e-315, 2.96197907485621e-315, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00692035042600561, 0.0345777787371162, "inside CI", 0.490314404956035, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 1.24215187277719e-315, 1.24425303515583e-315, "outside CI", 0, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.005005005005005, -0.984984984984985, 2.4271039462988e-113, 0.433382295, 0.0189523150981809, 3.47606064007404e-113, "outside CI", -0.268064597507936, 1.19967383655224e-312, 1.2026358156271e-312, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00692159601703121, 0.0414993747541474, "inside CI", 0.493955243499284, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 7.15167024688315e-313, 7.16411277723471e-313, "outside CI", 0, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.00600600600600601, -0.981981981981982, 7.99740609017966e-113, 0.433382295, 0.0189523150981809, 1.14734667302537e-112, "outside CI", -0.268064597507936, 4.74990710788725e-310, 4.76193346604352e-310, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00692226503807215, 0.0484216397922196, "inside CI", 0.497596585648745, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 4.00353996138981e-310, 4.01070407416704e-310, "outside CI", 0, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.00700700700700701, -0.978978978978979, 2.6278369002942e-112, 0.433382295, 0.0189523150981809, 3.77518357331957e-112, "outside CI", -0.268064597507936, 1.83401722477558e-307, 1.83877915824162e-307, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.0069223573219111, 0.0553439971141307, "inside CI", 0.501238128046535, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 2.1791381153875e-307, 2.18314881946166e-307, "outside CI", 3.46448926790346e-308, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.00800800800800801, -0.975975975975976, 8.61065421772987e-112, 0.433382295, 0.0189523150981809, 1.23858377910494e-111, "outside CI", -0.268064597507936, 6.90586475597309e-305, 6.9242525475555e-305, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.0069218728454815, 0.0622658699596122, "inside CI", 0.504879567284719, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 1.15326536460216e-304, 1.15544851342162e-304, "outside CI", 1.8417287100559e-305, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.00900900900900901, -0.972972972972973, 2.81360014092495e-111, 0.433382295, 0.0189523150981809, 4.05218392002989e-111, "outside CI", -0.268064597507936, 2.53588230088843e-302, 2.54280655343598e-302, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00692081172987712, 0.0691866816894893, "inside CI", 0.508520599981149, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 5.93441132235214e-302, 5.94596580748636e-302, "outside CI", 9.51973170998863e-303, -0.336319605549495, -0.277368121828038
