"Construct", "Variance_hyperprior", "Log_Odds_hyperprior", "Hyperprior_quantile_0.50", "Hyperprior_quantile_0.05", "Hyperprior_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood_qual_quantile_0.50", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95"
"Age", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, -0.410280838888763, -0.565857195430965, -0.254704482346561
"Comorbidity", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.941084645035231, 0.131594725347858, -0.941084645035231, -1.15753870631134, -0.724630583759124
"SocialSupport", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.76, 0.0657973626739291, 0.76, 0.651772969361946, 0.868227030638054
"NegativeAttitude", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.51, 0.0657973626739291, -0.51, -0.618227030638054, -0.401772969361946
"PositiveAttitude", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 1.01853801750108, 0.131594725347858, 1.01853801750108, 0.802083956224975, 1.23499207877719
"6MWT", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 1.77173021012617, 0.469981161956636, 1.77173021012617, 0.998679991282931, 2.54478042896941
"PhysicalFunctioning", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.900889789732304, 0.58395159373112, 0.900889789732304, -0.0596251071804226, 1.86140468664503
"Symptoms", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.475, 0.043864908449286, 0.475, 0.402848646241297, 0.547151353758702
"LVEF", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.161631057207389, 0.383817948931253, 0.161631057207389, -0.469693288181257, 0.792955402596035
"SelfEfficacy", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.835118614920261, 0.137576303772761, 0.835118614920261, 0.608825732677058, 1.06141149716346
"Depression", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.543570276975938, 0.0986960440108936, -0.543570276975938, -0.705910822933019, -0.381229731018858
"Digoxin", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -1.06, 0.164493406684823, -1.06, -1.33056757659513, -0.789432423404866
"Doppler", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.71, 0.0657973626739291, -0.71, -0.818227030638054, -0.601772969361946
"Dysphoria", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.38, 0.164493406684823, 0.38, 0.109432423404866, 0.650567576595134
"Employment", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.21, 0.131594725347858, -0.21, -0.426454061276107, 0.00645406127610718
"Ethnicity", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.316666666666667, 0.0657973626739291, 0.316666666666667, 0.208439636028613, 0.42489369730472
"PhysicalFunctioning", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.900889789732304, 0.58395159373112, 0.900889789732304, -0.0596251071804226, 1.86140468664503
"HFDuration", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.948888888888889, 0.14804406601634, -0.948888888888889, -1.19239970782451, -0.705378069953269
"HFrEF_Yes", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.22, 0.164493406684823, -0.22, -0.490567576595134, 0.0505675765951339
"highproBNP", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -1.16, 0.0328986813369645, -1.16, -1.21411351531903, -1.10588648468097
"Hostility", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.79, 0.164493406684823, 0.79, 0.519432423404866, 1.06056757659513
"Income", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.18, 0.0986960440108936, 0.18, 0.0176594540429195, 0.34234054595708
"LAV", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -1.12, 0.0657973626739291, -1.12, -1.22822703063805, -1.01177296936195
"LVAD", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 1.98, 0.230290769358752, 1.98, 1.60120539276681, 2.35879460723319
"LVR", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.2, 0.0657973626739291, -0.2, -0.308227030638054, -0.0917729693619464
"Partner", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.370601409410422, 0.0822467033424113, -0.370601409410422, -0.505885197707989, -0.235317621112855
"PeakVO2", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 1.53916666666667, 1.18435252813072, 1.53916666666667, -0.4089198848183, 3.48725321815163
"PerceivedExertion", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, -0.98, -1.52113515319027, -0.438864846809732
"QoL", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.513772466537123, 0.0751969859130618, 0.513772466537123, 0.390084431522204, 0.637460501552041
"RenalFunction", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 1.07, 0.0657973626739291, 1.07, 0.961772969361946, 1.17822703063805
"Smoking", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.66, 0.131594725347858, 0.66, 0.443545938723893, 0.876454061276107
"Symptoms_distress", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.46, 0.131594725347858, -0.46, -0.676454061276107, -0.243545938723893
