"Construct", "Variance_hyperprior", "Log_Odds_hyperprior", "Hyperprior_quantile_0.50", "Hyperprior_quantile_0.05", "Hyperprior_quantile_0.95", "logOR_expert_elicitation_task", "variance_expert_elicitation_task", "Prior_qual_quantile_0.50", "Prior_qual_quantile_0.05", "Prior_qual_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood_qual_quantile_0.50", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95", "posterior_QualplusQuant_mean", "posterior_QualplusQuant_variance", "Posterior_QualplusQuant_quantile_0.50", "Posterior_QualplusQuant_quantile_0.05", "Posterior_QualplusQuant_quantile_0.95"
"Age", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.0103709604467856, 0.24822695, 0.0103709604467856, -0.397926038567816, 0.418667959461387, -0.208671350385107, 0.0877298168985721, -0.208671350385107, -0.352974057902512, -0.0643686428677027, -0.151471901778306, 0.0648205573408367, -0.151471901778306, -0.258092230621397, -0.0448515729352147
"6MWT", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.0200070434215421, 0.13421053, 0.0200070434215421, -0.200749633624037, 0.240763720467121, 1.92687708461553, 0.631654681669719, 1.92687708461553, 0.887897590490213, 2.96585657874084, 0.354167722050373, 0.110691422344476, 0.354167722050373, 0.172096534534645, 0.536238909566102
"Symptoms", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.0587816343419304, 0.23947368, 0.0587816343419304, -0.335117516765486, 0.452680785449346, 0.66, 0.0657973626739291, 0.66, 0.551772969361946, 0.768227030638054, 0.53041488604707, 0.0516155624713176, 0.53041488604707, 0.445514840908983, 0.615314931185157
"LVEF", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.0200070434215421, 0.13421053, 0.0200070434215421, -0.200749633624037, 0.240763720467121, 0.161631057207389, 0.383817948931253, 0.161631057207389, -0.469693288181257, 0.792955402596035, 0.0566989140888464, 0.0994393405857761, 0.0566989140888464, -0.10686424593533, 0.220262074113023
"SelfEfficacy", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.0600635232873063, 0.12721631, 0.0600635232873063, -0.149188685623577, 0.269315732198189, 1.05397721340434, 0.171073142952216, 1.05397721340434, 0.772586933745398, 1.33536749306328, 0.483953911846997, 0.0729603201557708, 0.483953911846997, 0.363944864615237, 0.603962959078757
"SocialSupport", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.034848953349508, 0.16843972, 0.034848953349508, -0.242209731015183, 0.311907637714198, 0.76, 0.0657973626739291, 0.76, 0.651772969361946, 0.868227030638054, 0.556304556626242, 0.0473148368269385, 0.556304556626242, 0.478478575662835, 0.634130537589649
"Comorbidity", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.00651479265530364, 0.25487589, 0.00651479265530364, -0.412718739433681, 0.425748324744288, -0.941084645035231, 0.131594725347858, -0.941084645035231, -1.15753870631134, -0.724630583759124, -0.618423405627856, 0.0867862171413772, -0.618423405627856, -0.761174029662249, -0.475672781593464
"NegativeAttitude", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.0866433975699932, 0.28571429, 0.0866433975699932, -0.383314788608372, 0.556601583748358, -0.51, 0.0657973626739291, -0.51, -0.618227030638054, -0.401772969361946, -0.39831789296802, 0.053481148113439, -0.39831789296802, -0.486286553415939, -0.3103492325201
"PhysicalFunctioning", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.0200070434215421, 0.13421053, 0.0200070434215421, -0.200749633624037, 0.240763720467121, 0.900889789732303, 0.58395159373112, 0.900889789732303, -0.0596251071804226, 1.86140468664503, 0.184626892260139, 0.109129192837161, 0.184626892260139, 0.00512534361564856, 0.364128440904629
"PositiveAttitude", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.693147180559945, 0.28571429, 0.693147180559945, 0.22318899438158, 1.16310536673831, 1.01853801750108, 0.131594725347858, 1.01853801750108, 0.802083956224975, 1.23499207877719, 0.915928880762722, 0.0900974868447717, 0.915928880762722, 0.767731702746887, 1.06412605877856
