"Construct", "Variance_hyperprior", "Log_Odds_hyperprior", "Hyperprior_quantile_0.50", "Hyperprior_quantile_0.05", "Hyperprior_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood_qual_quantile_0.50", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95"
"Age", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, -0.410280838888763, -0.565857195430965, -0.254704482346561
"Comorbidity", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.941084645035231, 0.131594725347858, -0.941084645035231, -1.15753870631134, -0.724630583759124
"6MWT", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 1.77173021012617, 0.469981161956636, 1.77173021012617, 0.998679991282932, 2.54478042896941
"LVEF5", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.44, 0.0657973626739291, -0.44, -0.548227030638054, -0.331772969361946
"Depression", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.543570276975939, 0.0986960440108936, -0.543570276975939, -0.705910822933019, -0.381229731018858
"Ethnicity", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.316666666666667, 0.0657973626739291, 0.316666666666667, 0.208439636028613, 0.42489369730472
"PhysicalFunctioning", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.900889789732303, 0.58395159373112, 0.900889789732303, -0.0596251071804226, 1.86140468664503
"BMI", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.87071085174472, 0.131594725347858, 0.87071085174472, 0.654256790468612, 1.08716491302083
"HFrEF_Yes2", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.3, 0.0328986813369645, -0.3, -0.354113515319027, -0.245886484680973
"SelfEfficacy", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.835118614920261, 0.137576303772761, 0.835118614920261, 0.608825732677058, 1.06141149716346
"Employment2", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.62, 0.131594725347858, -0.62, -0.836454061276107, -0.403545938723893
"NegativeAttitude", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.51, 0.0657973626739291, -0.51, -0.618227030638054, -0.401772969361946
"PositiveAttitude", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 1.01853801750108, 0.131594725347858, 1.01853801750108, 0.802083956224975, 1.23499207877719
"Symptoms", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.475, 0.043864908449286, 0.475, 0.402848646241298, 0.547151353758702
