"Construct", "Variance_hyperprior", "Log_Odds_hyperprior", "Hyperprior_quantile_0.50", "Hyperprior_quantile_0.05", "Hyperprior_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood_qual_quantile_0.50", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95"
"Smoking", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.66, 0.131594725347858, 0.66, 0.443545938723893, 0.876454061276107
"Income", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.18, 0.0986960440108936, 0.18, 0.0176594540429195, 0.34234054595708
"Age", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -1.46315440217382, 0.120628498235537, -1.46315440217382, -1.66157062501026, -1.26473817933739
"Comorbidity1", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.55, 0.0657973626739291, -0.55, -0.658227030638054, -0.441772969361946
"6MWT", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 1.54, 0.0657973626739291, 1.54, 1.43177296936195, 1.64822703063805
"LVEF", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.325547192223971, 0.109662271123215, 0.325547192223971, 0.145168807827215, 0.505925576620727
"Depression2", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.29, 0.0657973626739291, -0.29, -0.398227030638054, -0.181772969361946
"QoL", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.232274439822124, 0.0986960440108936, -0.232274439822124, -0.394614985779205, -0.0699338938650437
"Partner", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.92, 0.164493406684823, -0.92, -1.19056757659513, -0.649432423404866
"HFDuration", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.74, 0.131594725347858, -0.74, -0.956454061276107, -0.523545938723893
"Ethnicity", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.11, 0.0657973626739291, 0.11, 0.00177296936194633, 0.218227030638054
"LVAD", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 1.98, 0.230290769358752, 1.98, 1.60120539276681, 2.35879460723319
"PhysicalFunctioning7", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.55, 0.0657973626739291, 0.55, 0.441772969361946, 0.658227030638054
"BMI", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 1.39646553164115, 0.131594725347858, 1.39646553164115, 1.18001147036504, 1.61291959291725
"HFrEF_Yes", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.22, 0.164493406684823, -0.22, -0.490567576595134, 0.0505675765951339
"SelfEfficacy", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.358877843578737, 0.120628498235537, 0.358877843578737, 0.160461620742305, 0.557294066415168
"Employment", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.21, 0.131594725347858, -0.21, -0.426454061276107, 0.00645406127610718
"NegativeAttitude2", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.55, 0.0657973626739291, -0.55, -0.658227030638054, -0.441772969361946
"PositiveAttitude2", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.66, 0.0657973626739291, 0.66, 0.551772969361946, 0.768227030638054
"Symptoms", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.29, 0.0657973626739291, 0.29, 0.181772969361946, 0.398227030638054
"Symptoms_distress", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.25, 0.131594725347858, -0.25, -0.466454061276107, -0.0335459387238928
