"Construct", "Expected value (log OR)", "95% CrI", "SD"
"Age", -0.41, "[-0.57;-0.25]", 0.31
"6MWT", 1.77, "[1;2.54]", 0.69
"Depression2", -0.14, "[-0.25;-0.03]", 0.26
"PhysicalFunctioning2", -0.19, "[-1.57;1.19]", 0.92
"Ethnicity", 0.32, "[0.21;0.42]", 0.26
"BMI", 0.87, "[0.65;1.09]", 0.36
"PositiveAttitude", 1.02, "[0.8;1.23]", 0.36
"RenalFunction", 1.07, "[0.96;1.18]", 0.26
"highproBNP", -1.16, "[-1.21;-1.11]", 0.18
"LAV", -1.12, "[-1.23;-1.01]", 0.26
"LVR", -0.2, "[-0.31;-0.09]", 0.26
"Digoxin", -1.06, "[-1.33;-0.79]", 0.41
"Doppler", -0.71, "[-0.82;-0.6]", 0.26
