"Construct", "Expected value (log OR)", "95% CrI", "SD"
"Age", -0.41, "[-0.57;-0.25]", 0.31
"Comorbidity", -0.94, "[-1.16;-0.72]", 0.36
"6MWT", 1.77, "[1;2.54]", 0.69
"LVEF5", -0.44, "[-0.55;-0.33]", 0.26
"Depression", -0.54, "[-0.71;-0.38]", 0.31
"Ethnicity", 0.32, "[0.21;0.42]", 0.26
"PhysicalFunctioning", 0.9, "[-0.06;1.86]", 0.76
"BMI", 0.87, "[0.65;1.09]", 0.36
"HFrEF_Yes2", -0.3, "[-0.35;-0.25]", 0.18
"SelfEfficacy", 0.84, "[0.61;1.06]", 0.37
"Employment2", -0.62, "[-0.84;-0.4]", 0.36
"NegativeAttitude", -0.51, "[-0.62;-0.4]", 0.26
"PositiveAttitude", 1.02, "[0.8;1.23]", 0.36
"Symptoms", 0.48, "[0.4;0.55]", 0.21
