"Construct", "Expected value (log OR)", "95% CrI", "SD"
"Smoking", 0.66, "[0.44;0.88]", 0.36
"Income", 0.18, "[0.02;0.34]", 0.31
"Age", -0.41, "[-0.57;-0.25]", 0.31
"Comorbidity1", -0.55, "[-0.66;-0.44]", 0.26
"6MWT", 1.77, "[1;2.54]", 0.69
"LVEF", 0.16, "[-0.47;0.79]", 0.62
"Depression2", -0.14, "[-0.25;-0.03]", 0.26
"Partner", -0.37, "[-0.51;-0.24]", 0.29
"HFDuration", -0.95, "[-1.19;-0.71]", 0.38
"Ethnicity", 0.32, "[0.21;0.42]", 0.26
"LVAD", 1.98, "[1.6;2.36]", 0.48
"PhysicalFunctioning7", 0.55, "[0.44;0.66]", 0.26
"BMI", 0.87, "[0.65;1.09]", 0.36
"HFrEF_Yes", -0.22, "[-0.49;0.05]", 0.41
"SelfEfficacy", 0.84, "[0.61;1.06]", 0.37
"Employment", -0.21, "[-0.43;0.01]", 0.36
"NegativeAttitude2", -0.55, "[-0.66;-0.44]", 0.26
"PositiveAttitude2", 0.66, "[0.55;0.77]", 0.26
"Symptoms", 0.48, "[0.4;0.55]", 0.21
"Symptoms_distress", -0.46, "[-0.68;-0.24]", 0.36
