"Author","Year","Construct","lOR","l.lor","u.lor","OR","l.or","u.or","varLOR","Fisher_Z","variance_Fisher_Z","raw_correlation_coefficient","Total_N"
"Kramer et al., 2017",2017,"Age",-0.74,-0.78,-0.71,0.47,0.46,0.49,0,-0.2,0,-0.2,53018
"Kramer et al., 2017",2017,"CRT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"van der Wal et al., 2010",2010,"Age",-0.43,-0.61,-0.26,0.65,0.54,0.77,0,-0.12,0,-0.12,1660
"van der Wal et al., 2010",2010,"LVEF",-0.13,-0.3,0.05,0.88,0.74,1.05,0,-0.03,0,-0.03,1660
"Gallagher et al., 2011",2011,"SocialSupport",0.76,0.28,1.24,2.14,1.33,3.47,0.0657973626739291,0.21,0,0.2,232
"Pozehl et al. 2018",2018,"Education",0,-0.54,0.54,1,0.58,1.72,0.0657973626739291,0,0.01,0,176
"Pozehl et al. 2018",2018,"Education",0.23,-0.31,0.77,1.26,0.73,2.16,0.0657973626739291,0.06,0.01,0.06,176
"Pozehl et al. 2018",2018,"Employment2",-0.62,-1.32,0.07,0.54,0.27,1.07,0.131594725347858,-0.13,0.01,-0.13,182
"Pozehl et al. 2018",2018,"Employment",-0.78,-1.48,-0.09,0.46,0.23,0.92,0.131594725347858,-0.16,0.01,-0.16,182
"Pozehl et al. 2018",2018,"Ethnicity",0.7,0.16,1.24,2.01,1.18,3.45,0.0657973626739291,0.19,0.01,0.19,182
"Pozehl et al. 2018",2018,"Ethnicity",0.11,-0.42,0.64,1.12,0.66,1.9,0.0657973626739291,0.03,0.01,0.03,182
"Pozehl et al. 2018",2018,"HFpEF2",0.07,-0.28,0.42,1.07,0.75,1.52,0.0328986813369645,0.02,0,0.02,408
"Pozehl et al. 2018",2018,"HFpEF ",0,-0.35,0.35,1,0.7,1.42,0.0328986813369645,0,0,0,408
"Pozehl et al. 2018",2018,"HFrEF_Yes2",-0.3,-0.65,0.05,0.74,0.52,1.05,0.0328986813369645,-0.08,0,-0.08,408
"Pozehl et al. 2018",2018,"HFrEF_Yes",-0.22,-1,0.57,0.8,0.37,1.77,0.164493406684823,-0.04,0,-0.04,204
"Pozehl et al. 2018",2018,"Male2",0.83,0.29,1.37,2.29,1.34,3.92,0.0657973626739291,0.23,0.01,0.22,182
"Pozehl et al. 2018",2018,"Male",31.67,28.37,34.96,56537022883748.5,2093453653094.76,1526871613246459,2.82928659497895,2.86,0.01,0.99,182
"Pozehl et al. 2018",2018,"NYHA",6.83,5.64,8.02,923.93,282.01,3027.05,0.36188549470661,0.85,0,0.69,204
