"Construct", "X..Variance_hyperprior.", "SD_hyperprior", "variance_expert_elicitation_task", "SD_prior", "SD_prior_x", "X..variance_quant.", "SD_quant", "SD_quant_x", "X..posterior_QualplusQuant_variance.", "SD_posterior", "SD_posterior_x", "X", "uncertainty_prior", "uncertainty_quant", "uncertainty_posterior"
"highproBNP", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.0328986813369645, 0.181379936423422, 1, NA, NA, NA, NA, NA, "narrow/low", NA
"Age", 0.0189523150981809, 0.137667407537808, 0.24822695, 0.24822695, 2, 0.094583708843773, 0.307544645285482, 2, 0.0684874433168584, 0.261701057156555, 2, NA, "medium/moderate", "medium/moderate", "medium/moderate"
"Comorbidity", 0.0189523150981809, 0.137667407537808, 0.25487589, 0.25487589, 2, 0.131594725347858, 0.362759872846843, 3, 0.0867862171413772, 0.294595005289257, 2, NA, "medium/moderate", "medium/moderate", "medium/moderate"
"SocialSupport", 0.0189523150981809, 0.137667407537808, 0.16843972, 0.16843972, 1, 0.0657973626739291, 0.256509966032373, 2, 0.0473148368269385, 0.217519738936351, 2, NA, "narrow/low", "medium/moderate", "medium/moderate"
"NegativeAttitude", 0.0189523150981809, 0.137667407537808, 0.28571429, 0.28571429, 2, 0.0657973626739291, 0.256509966032373, 2, 0.053481148113439, 0.231259914627328, 2, NA, "medium/moderate", "medium/moderate", "medium/moderate"
"PositiveAttitude", 0.0189523150981809, 0.137667407537808, 0.28571429, 0.28571429, 2, 0.131594725347858, 0.362759872846843, 3, 0.0900974868447717, 0.300162434099892, 2, NA, "medium/moderate", "medium/moderate", "medium/moderate"
"Symptoms", 0.0189523150981809, 0.137667407537808, 0.23947368, 0.23947368, 2, 0.043864908449286, 0.209439510239319, 2, 0.0370739866627584, 0.192546063742571, 1, NA, "medium/moderate", "medium/moderate", "narrow/low"
"SelfEfficacy", 0.0189523150981809, 0.137667407537808, 0.12721631, 0.12721631, 1, 0.137576303772761, 0.370912798070869, 3, 0.0660968199227396, 0.257093018035768, 2, NA, "narrow/low", "medium/moderate", "medium/moderate"
"Depression", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.0986960440108936, 0.314159265358979, 2, NA, NA, NA, NA, NA, "medium/moderate", NA
"Digoxin", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.164493406684823, 0.405577867597362, 3, NA, NA, NA, NA, NA, "medium/moderate", NA
"Doppler", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.0657973626739291, 0.256509966032373, 2, NA, NA, NA, NA, NA, "medium/moderate", NA
"Dysphoria", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.164493406684823, 0.405577867597362, 3, NA, NA, NA, NA, NA, "medium/moderate", NA
"Employment", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.131594725347858, 0.362759872846843, 3, NA, NA, NA, NA, NA, "medium/moderate", NA
"Ethnicity", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.0657973626739291, 0.256509966032373, 2, NA, NA, NA, NA, NA, "medium/moderate", NA
"HFDuration", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.14804406601634, 0.384764949048559, 3, NA, NA, NA, NA, NA, "medium/moderate", NA
"HFrEF_Yes", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.164493406684823, 0.405577867597362, 3, NA, NA, NA, NA, NA, "medium/moderate", NA
"Hostility", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.164493406684823, 0.405577867597362, 3, NA, NA, NA, NA, NA, "medium/moderate", NA
"Income", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.0986960440108936, 0.314159265358979, 2, NA, NA, NA, NA, NA, "medium/moderate", NA
"LAV", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.0657973626739291, 0.256509966032373, 2, NA, NA, NA, NA, NA, "medium/moderate", NA
"LVAD", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.230290769358752, 0.479886204593081, 3, NA, NA, NA, NA, NA, "medium/moderate", NA
"LVR", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.0657973626739291, 0.256509966032373, 2, NA, NA, NA, NA, NA, "medium/moderate", NA
"Partner", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.0822467033424113, 0.286786860477274, 2, NA, NA, NA, NA, NA, "medium/moderate", NA
"PercievedExersion", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.328986813369645, 0.573573720954547, 4, NA, NA, NA, NA, NA, "medium/moderate", NA
"QoL", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.0751969859130618, 0.274220688338903, 2, NA, NA, NA, NA, NA, "medium/moderate", NA
"RenalFunction", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.0657973626739291, 0.256509966032373, 2, NA, NA, NA, NA, NA, "medium/moderate", NA
"Smoking", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.131594725347858, 0.362759872846843, 3, NA, NA, NA, NA, NA, "medium/moderate", NA
"Symptoms_distress", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.131594725347858, 0.362759872846843, 3, NA, NA, NA, NA, NA, "medium/moderate", NA
"6MWT", 0.0189523150981809, 0.137667407537808, 0.13421053, 0.13421053, 1, 0.469981161956636, 0.685551720847257, 5, 0.104398027440508, 0.323106835954469, 2, NA, "narrow/low", "wide/high", "medium/moderate"
"Functioning", 0.0189523150981809, 0.137667407537808, 0.13421053, 0.13421053, 1, 0.58395159373112, 0.764167255076479, 6, 0.109129192837161, 0.330347079353157, 2, NA, "narrow/low", "wide/high", "medium/moderate"
"LVEF", 0.0189523150981809, 0.137667407537808, 0.13421053, 0.13421053, 1, 0.383817948931253, 0.619530426154562, 5, 0.0994393405857761, 0.315340039617198, 2, NA, "narrow/low", "wide/high", "medium/moderate"
"Functioning", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 0.58395159373112, 0.764167255076479, 6, NA, NA, NA, NA, NA, "wide/high", NA
"PeakVO2", 0.0189523150981809, 0.137667407537808, NA, NA, NA, 1.18435252813072, 1.08827961854053, 8, NA, NA, NA, NA, NA, "wide/high", NA
