"Construct", "Expected value (log OR)", "95% CrI", "SD"
"6MWT", 2.13, "[1.91;2.34]", 0.36
"Depression2", 0.01, "[-0.1;0.12]", 0.26
"PhysicalFunctioning5", 1.3, "[1.19;1.41]", 0.26
"Ethnicity", 0.14, "[0.03;0.25]", 0.26
"PositiveAttitude", 1.58, "[1.26;1.9]", 0.44
"RenalFunction", 1.07, "[0.96;1.18]", 0.26
"highproBNP", -1.16, "[-1.21;-1.11]", 0.18
"LAV", -1.12, "[-1.23;-1.01]", 0.26
"LVR", -0.2, "[-0.31;-0.09]", 0.26
"Digoxin", -1.06, "[-1.33;-0.79]", 0.41
"Doppler", -0.71, "[-0.82;-0.6]", 0.26
"QoL", 0.94, "[0.83;1.05]", 0.26
