"Construct", "Expected value (log OR)", "95% CrI", "SD"
"Age", -0.94, "[-1.05;-0.83]", 0.26
"Comorbidity", -0.66, "[-0.77;-0.55]", 0.26
"6MWT", 1.88, "[1.77;1.99]", 0.26
"LVEF5", -0.44, "[-0.55;-0.33]", 0.26
"Depression", -0.48, "[-0.59;-0.37]", 0.26
"Ethnicity", 0.7, "[0.59;0.81]", 0.26
"PhysicalFunctioning", 0.82, "[0.71;0.93]", 0.26
"BMI", -0.4, "[-0.51;-0.29]", 0.26
"HFrEF_Yes2", -0.3, "[-0.35;-0.25]", 0.18
"SelfEfficacy", 0.64, "[0.54;0.75]", 0.26
"Employment2", -0.62, "[-0.84;-0.4]", 0.36
"NegativeAttitude", -0.51, "[-0.62;-0.4]", 0.26
"PositiveAttitude", 0.59, "[0.48;0.7]", 0.26
"Symptoms", 0.66, "[0.55;0.77]", 0.26
