"Construct", "Expected value (log OR)", "95% CrI", "SD"
"Smoking", 0.66, "[0.44;0.88]", 0.36
"Income", 0.18, "[0.02;0.34]", 0.31
"Age", -1.46, "[-1.66;-1.26]", 0.35
"Comorbidity1", -0.55, "[-0.66;-0.44]", 0.26
"6MWT", 1.54, "[1.43;1.65]", 0.26
"LVEF", 0.33, "[0.15;0.51]", 0.33
"Depression2", -0.29, "[-0.4;-0.18]", 0.26
"Partner", -0.92, "[-1.19;-0.65]", 0.41
"HFDuration", -0.74, "[-0.96;-0.52]", 0.36
"Ethnicity", 0.11, "[0;0.22]", 0.26
"LVAD", 1.98, "[1.6;2.36]", 0.48
"PhysicalFunctioning7", 0.55, "[0.44;0.66]", 0.26
"BMI", 1.4, "[1.18;1.61]", 0.36
"HFrEF_Yes", -0.22, "[-0.49;0.05]", 0.41
"SelfEfficacy", 0.36, "[0.16;0.56]", 0.35
"Employment", -0.21, "[-0.43;0.01]", 0.36
"NegativeAttitude2", -0.55, "[-0.66;-0.44]", 0.26
"PositiveAttitude2", 0.66, "[0.55;0.77]", 0.26
"Symptoms", 0.29, "[0.18;0.4]", 0.26
"Symptoms_distress", -0.25, "[-0.47;-0.03]", 0.36
